# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 13 08:06:56 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmaxstr > 0.0
# CONSTRAINT:  and pl_orbeccenstr > 0.0
# CONSTRAINT:  and pl_orbinclstr > 0.0
# CONSTRAINT:  and pl_bmassjstr > 0.0
# CONSTRAINT:  and pl_radjstr > 0.0
# CONSTRAINT:  and pl_densstr > 0.0
# CONSTRAINT:  and st_diststr > 0.0
# CONSTRAINT:  and st_teff > 0.0
# CONSTRAINT:  and st_mass > 0.0
# CONSTRAINT:  and st_radstr > 0.0)
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
#
#pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	pl_radj	pl_dens	st_dist	st_teff	st_mass	st_rad
3.52563254	0.043300	0.220000	89.360	1.27000	1.080	1.02000	720.00	5150.00	0.87	0.80
3.30984430	0.041010	0.030000	87.080	2.13200	1.074	2.28000	202.51	4953.00	0.84	0.80
4.38884970	0.049440	0.173000	89.240	0.26100	1.180	0.19100	341.00	5099.00	0.84	0.81
3.18531500	0.040120	0.170000	87.920	0.12000	0.563	0.83000	257.00	4985.00	0.85	0.81
4.00877800	0.046600	0.067000	88.200	0.29200	1.132	0.25000	215.00	4990.00	0.84	0.82
34.55600000	0.206900	0.029000	89.830	0.62927	1.007	0.76000	178.84	5026.00	0.87	0.84
17.08900000	0.129300	0.132000	88.364	0.09439	0.686	0.34000	178.84	5026.00	0.87	0.84
2.74390040	0.036490	0.279000	84.650	0.56000	1.067	0.56000	463.00	5080.00	0.86	0.85
4.74237290	0.053670	0.559000	87.320	0.17300	0.903	0.28000	448.00	5495.00	0.92	0.85
50.81894700	0.257300	0.140000	89.240	0.04657	0.215	5.70000	163.23	5368.00	0.88	0.85
4.65382000	0.051860	0.194000	88.920	0.02989	0.243	2.57000	111.40	5320.00	0.86	0.85
9.15059000	0.081400	0.066000	88.540	0.02086	0.246	1.73000	111.40	5320.00	0.86	0.85
19.98000000	0.137000	0.168000	88.795	0.04279	0.261	2.98000	111.40	5320.00	0.86	0.85
4.75615000	0.052200	0.090000	88.500	0.02363	0.146	9.30000	44.87	5125.00	0.90	0.86
17.17840000	0.126800	0.050000	88.500	0.02552	0.213	3.23000	44.87	5125.00	0.90	0.86
3.25883210	0.042170	0.066000	86.656	0.73000	1.190	0.53000	179.39	5358.00	0.94	0.86
3.79701816	0.046400	0.330000	87.020	0.25000	0.978	0.27000	650.00	5170.00	0.93	0.86
4.76338700	0.054200	0.019000	89.300	0.23700	0.912	0.39000	257.00	5304.00	0.94	0.87
81.73778000	0.466900	0.041000	89.730	0.03335	0.198	5.40000	156.66	5547.00	0.89	0.87
2.23598350	0.032300	0.047000	83.300	2.44000	1.440	1.10000	180.00	5260.00	0.90	0.87
2.79743600	0.037900	0.058000	86.900	1.16900	1.178	0.89000	411.00	5500.00	0.93	0.88
2.22525770	0.032110	0.519000	88.490	0.57700	0.945	0.46000	420.30	5137.00	0.89	0.88
3.35642270	0.042700	0.193000	89.400	5.90000	1.040	7.00000	293.38	5130.00	0.92	0.88
2.75359530	0.036940	0.047000	87.020	0.81800	1.009	0.98000	385.00	5131.00	0.89	0.89
3.04404990	0.040570	0.181000	88.550	0.54300	1.212	0.37700	476.00	5523.00	0.96	0.89
8.88491160	0.081800	0.570000	89.120	10.10000	1.050	11.00000	855.50	5200.00	0.91	0.89
2.85057000	0.038600	0.082000	87.300	0.85000	0.900	1.45000	765.00	5260.00	0.97	0.90
9.43415050	0.080000	0.450000	87.806	0.37800	0.545	3.00000	200.00	5576.00	0.98	0.90
2.10970190	0.026000	0.059000	85.030	0.07048	0.305	3.08000	164.47	5397.00	0.97	0.90
5.74814500	0.062800	0.096000	87.700	1.00000	0.930	1.60000	246.00	5900.00	1.00	0.90
1.74299350	0.027980	0.014300	88.080	3.47000	1.466	1.47000	200.00	5625.00	0.96	0.91
3.65281514	0.046600	0.023000	88.220	0.56900	1.135	0.48300	302.95	5519.00	1.01	0.92
4.64038200	0.052300	0.067000	88.300	0.26700	0.825	0.59000	249.00	5330.00	0.89	0.92
1.74748753	0.027120	0.126000	87.130	2.17000	1.105	1.97000	689.00	5311.00	0.87	0.92
3.18107810	0.041310	0.202000	86.170	0.67200	1.194	0.48000	521.00	5498.00	0.93	0.92
3.21751883	0.041400	0.180000	85.740	0.34000	1.090	0.26000	880.00	5725.00	0.91	0.92
2.76676410	0.038150	0.142000	88.830	1.07100	1.039	1.19100	513.00	5346.00	0.97	0.93
2.51672900	0.036200	0.013000	88.500	1.32300	1.020	1.55000	420.00	5403.00	1.00	0.93
3.27688370	0.041630	0.298000	87.920	0.17900	1.055	0.07600	516.80	5416.00	0.90	0.93
4.30121900	0.050700	0.044000	89.100	0.35200	1.242	0.23000	363.00	5295.00	0.94	0.95
29.33434000	0.180000	0.042000	90.179	0.03600	0.348	1.02000	938.33	5498.00	0.99	0.95
60.32310500	0.300000	0.011100	90.323	2.01000	1.097	1.88000	938.33	5498.00	0.99	0.95
143.34394000	0.500000	0.022000	89.841	0.07300	0.785	0.19000	938.33	5498.00	0.99	0.95
2.68432850	0.035850	0.019000	87.828	0.59500	1.192	0.45900	725.00	5560.00	0.85	0.95
125.63243000	0.498800	0.390000	89.845	0.97000	0.747	2.90000	310.01	5820.00	1.05	0.95
95.27265600	0.402100	0.133000	89.900	0.84000	1.066	0.86000	417.89	5625.00	0.96	0.96
2.35062100	0.034930	0.028000	87.880	3.14700	1.139	2.65000	280.00	5587.00	1.03	0.96
141.24167100	0.534000	0.496000	89.892	1.93000	0.990	2.46000	946.59	5830.00	1.01	0.96
3.69611525	0.046300	0.030000	87.355	0.03052	0.167	8.20000	284.88	5495.00	0.95	0.96
10.85409089	0.094900	0.160000	89.815	0.04012	0.272	2.50000	284.88	5495.00	0.95	0.96
19.23891000	0.143000	0.060900	88.982	0.13655	0.740	0.42000	614.00	5774.00	1.02	0.96
38.98530000	0.227000	0.066910	89.188	0.09408	0.721	0.31000	614.00	5774.00	1.02	0.96
2.10616070	0.031660	0.108000	82.280	0.94100	1.430	0.40000	532.00	5380.00	0.95	0.98
2.36917200	0.033760	0.084000	87.700	0.02058	0.153	7.10000	139.22	5477.00	0.92	0.98
2.49970000	0.035000	0.010000	86.900	0.93000	1.090	0.89000	434.28	5241.00	0.89	0.98
4.94278200	0.057140	0.060000	87.440	0.66000	0.960	0.93000	755.38	5515.00	1.02	0.99
1.90006930	0.029500	0.080000	86.500	3.47000	1.310	2.20000	870.00	5440.00	0.95	1.00
0.78883899	0.016340	0.002000	78.780	1.06900	1.392	0.49200	270.41	5568.00	0.90	1.00
3.58524670	0.046040	0.139000	87.700	0.58200	1.182	0.43500	480.00	5808.00	1.01	1.01
8.88659300	0.085500	0.100000	89.070	2.96000	1.166	2.32000	657.24	6090.00	1.05	1.02
2.54955510	0.037270	0.080000	87.620	1.19200	1.230	0.79000	255.00	5659.00	1.06	1.02
3.37265000	0.044900	0.017000	86.300	0.60000	1.240	0.43000	433.00	6050.00	1.07	1.02
131.45800000	0.603470	0.042000	90.760	0.12700	0.728	0.41000	1645.00	5606.00	0.89	1.03
1.62842790	0.026700	0.038000	86.900	1.58000	1.087	1.64000	311.88	5700.00	0.96	1.03
4.21802780	0.050690	0.123000	88.480	0.30900	1.293	0.17800	470.00	5449.00	0.98	1.04
3.44645900	0.044400	0.120000	85.600	1.85500	1.302	1.03000	303.00	5870.00	0.99	1.04
5.41608100	0.061120	0.129000	88.100	0.80600	1.126	0.70000	654.88	5670.00	1.04	1.04
1.36665436	0.024980	0.246000	84.700	2.24000	1.382	1.06000	631.00	6010.00	1.11	1.05
1.48571080	0.025910	0.011000	87.200	2.45000	1.310	1.35000	800.00	5781.00	1.16	1.05
7.79430132	0.076900	0.123000	86.550	1.37000	1.650	0.40000	270.12	5493.00	1.00	1.05
3.17435160	0.043540	0.096000	86.840	0.70600	1.175	0.54300	339.00	5943.00	1.09	1.06
10.30390000	0.091000	0.045000	89.640	0.00600	0.161	1.72000	658.59	5663.00	0.96	1.06
13.02410000	0.107000	0.026000	89.590	0.00900	0.256	0.66000	658.59	5663.00	0.96	1.06
22.68450000	0.155000	0.004000	89.670	0.02300	0.278	1.28000	658.59	5663.00	0.96	1.06
31.99960000	0.195000	0.012000	88.890	0.02500	0.374	0.58000	658.59	5663.00	0.96	1.06
46.68880000	0.250000	0.013000	89.470	0.00600	0.222	0.69000	658.59	5663.00	0.96	1.06
118.38070000	0.466000	0.150000	89.870	0.07900	0.297	4.00000	658.59	5663.00	0.96	1.06
4.60587490	0.054750	0.158000	87.370	0.65300	1.251	0.41100	351.00	5670.00	1.03	1.07
3.05665270	0.040260	0.136000	84.860	0.96000	1.207	0.67000	634.80	5627.00	0.93	1.07
3.57532000	0.047600	0.065000	86.700	10.39000	1.007	12.60000	1035.15	5900.00	1.05	1.08
16.25461100	0.130800	0.029000	89.080	1.33800	0.777	3.50000	339.00	5846.00	1.13	1.09
3.58389300	0.046670	0.376000	87.800	0.13800	0.873	0.25900	829.00	5679.00	1.06	1.09
16.98410000	0.130000	0.040000	88.400	0.07709	0.235	7.40000	114.29	5725.00	1.00	1.09
3.25721500	0.043400	0.051000	88.000	0.62600	1.212	0.44000	395.00	5680.00	1.02	1.10
3.31284600	0.044910	0.501000	87.790	0.52600	0.969	0.70000	496.00	5880.00	1.10	1.10
2.81265480	0.040240	0.471000	87.100	0.92000	1.249	0.58000	839.00	5700.00	1.10	1.10
3.85377680	0.047530	0.330000	88.780	0.59500	1.340	0.30300	613.00	5644.00	0.96	1.10
31.57865900	0.197000	0.836000	89.310	0.15291	0.448	2.13000	186.88	5731.00	1.03	1.10
4.29864320	0.051630	0.176000	86.930	0.61300	1.260	0.38000	466.00	5715.00	0.99	1.11
9.62468000	0.087100	0.434000	89.300	5.20000	1.000	6.90000	313.60	5300.00	0.95	1.11
2.82804200	0.040160	0.070000	85.480	0.91700	1.440	0.41100	1150.00	5675.00	1.08	1.12
3.82970150	0.050460	0.516000	87.540	0.39000	1.130	0.33000	717.00	5990.00	1.17	1.12
4.20420010	0.054120	0.092000	86.320	0.92100	1.251	0.58700	623.60	6214.00	1.20	1.13
86.64766100	0.382000	0.772000	89.660	1.45000	0.940	2.10000	900.00	5520.00	0.99	1.13
9.75598000	0.092000	0.077000	89.749	0.03800	0.435	0.24900	592.00	5939.00	1.10	1.14
4.53347100	0.055000	0.003000	89.200	0.31000	1.130	0.29000	458.91	5871.00	1.08	1.14
3.35205700	0.047000	0.100000	85.500	4.01000	1.490	1.61000	3200.00	6250.00	1.20	1.15
288.82200000	1.089600	0.182000	90.355	0.22000	0.764	0.61300	1499.00	5913.00	1.05	1.16
1047.83560000	2.026000	0.260000	89.982	0.50000	0.819	1.20000	577.60	5597.00	1.01	1.18
5.35227000	0.061800	0.330000	85.010	0.53500	1.170	0.44000	840.00	5650.00	1.10	1.19
4.03789620	0.049470	0.090000	85.830	0.46700	1.388	0.21700	904.65	6100.00	1.00	1.19
2.16051560	0.033970	0.114000	81.020	1.47000	1.860	0.29000	747.00	5780.00	1.12	1.20
2.49979000	0.036300	0.058000	85.000	1.23000	1.400	0.70000	333.00	5650.00	1.02	1.20
1.96162410	0.031590	0.134000	86.200	1.48400	1.318	0.80000	719.00	5956.00	1.09	1.21
2.77596000	0.041300	0.036000	86.600	4.19300	1.289	2.42000	235.00	6158.00	1.22	1.24
2.71647620	0.039080	0.066000	88.690	0.72900	1.429	0.33200	402.96	5870.00	1.08	1.28
9.55237000	0.090700	0.093000	87.540	0.03964	0.218	4.70000	109.00	6327.00	1.09	1.30
21.05704000	0.153600	0.220000	88.610	0.04782	0.388	1.01000	109.00	6327.00	1.09	1.30
13.48450000	0.117000	0.015000	88.780	0.03430	0.310	1.43000	1051.43	6174.00	1.17	1.30
27.40290000	0.187000	0.030000	89.480	0.01900	0.332	0.62000	1051.43	6174.00	1.17	1.30
52.09020000	0.287000	0.025000	89.930	0.01900	0.639	0.09000	1051.43	6174.00	1.17	1.30
81.06590000	0.386000	0.012000	89.130	0.01300	0.311	0.53000	1051.43	6174.00	1.17	1.30
4.18762440	0.055110	0.240000	85.610	0.70000	1.286	0.41000	818.00	6450.00	1.27	1.31
3.10516100	0.044970	0.062000	84.820	0.82100	1.501	0.30000	495.00	6277.00	1.26	1.31
3.12899200	0.045200	0.049000	87.800	0.89200	1.426	0.38000	305.00	6330.00	1.26	1.32
2.54418280	0.037630	0.126000	83.080	0.76000	1.067	0.77000	769.00	5702.00	1.10	1.32
3.92281072	0.052870	0.084000	86.440	0.74900	1.393	0.34200	480.00	6350.00	1.28	1.34
10.29099400	0.091000	0.570000	89.500	0.29000	1.230	0.16000	1100.00	5800.00	0.96	1.35
3.24672930	0.044600	0.066000	84.960	1.00000	1.090	0.93000	1229.15	5800.00	1.12	1.35
2.15000820	0.033970	0.159000	88.980	0.68000	1.980	0.10800	291.51	6001.00	1.13	1.37
12.87470990	0.114300	0.131000	86.460	2.86000	1.130	2.40000	1240.00	5977.00	1.20	1.38
4.43527000	0.058000	0.060000	84.100	2.90000	1.070	2.93000	619.74	6330.00	1.34	1.38
4.46312900	0.057700	0.123000	85.500	0.49300	1.284	0.28000	296.00	6120.00	1.28	1.40
21.08721000	0.164000	0.112000	89.070	20.10000	1.240	13.00000	1090.44	6350.00	1.29	1.40
1.82099930	0.031990	0.306000	86.900	1.22200	1.464	0.48400	557.00	6300.00	1.32	1.43
4.21808960	0.057980	0.168000	85.690	1.03000	1.095	0.96000	492.00	7175.00	1.46	1.43
1.54877430	0.028510	0.012000	83.960	1.76900	1.339	0.97000	460.00	5940.00	1.29	1.43
3.64670600	0.049780	0.020000	87.300	1.05600	1.332	0.55000	514.20	6096.00	1.24	1.44
3.34887020	0.046390	0.330000	87.100	0.76800	1.410	0.34000	478.00	5758.00	1.19	1.44
1.60917880	0.030320	0.057000	79.030	1.45000	1.685	0.37400	982.00	6594.00	1.44	1.44
2.17642300	0.034500	0.170000	87.000	1.16000	1.210	0.88000	547.00	5700.00	1.16	1.44
3.56082900	0.047080	0.191000	86.280	0.66200	1.153	0.53700	494.30	5688.00	1.10	1.46
1.21751400	0.024660	0.009900	87.800	27.23000	1.110	24.70000	262.00	6518.00	1.32	1.46
2.29210200	0.036890	0.229000	85.100	1.88000	1.400	0.83000	942.00	6060.00	1.27	1.48
2.86414240	0.044210	0.038000	83.450	0.70900	1.373	0.34000	234.10	6250.00	1.41	1.48
9.38755000	0.090400	0.240000	86.800	0.98000	1.250	0.66000	275.00	5900.00	1.12	1.50
5.55149260	0.069690	0.077000	89.170	5.18000	1.272	3.13000	96.03	6509.00	1.46	1.51
3.74320800	0.051190	0.250000	89.300	0.03300	0.153	10.10000	483.65	6182.00	1.28	1.52
10.42364800	0.101300	0.430000	88.360	0.04900	0.385	0.91000	483.65	6182.00	1.28	1.52
22.34298900	0.168400	0.022000	89.871	0.33400	1.005	0.36300	483.65	6182.00	1.28	1.52
54.32031000	0.304600	0.019000	89.760	0.11000	0.585	0.60000	483.65	6182.00	1.28	1.52
5.45265400	0.067740	0.432000	87.100	3.33000	1.197	2.50000	251.08	6442.00	1.39	1.53
5.85748700	0.070370	0.262000	88.090	2.51000	1.255	1.68000	336.00	6255.00	1.35	1.53
3.48768120	0.047400	0.086000	85.820	0.16000	0.510	1.45000	953.44	5667.00	1.17	1.56
3.63130000	0.048000	0.160000	85.700	2.80000	1.050	3.00000	600.00	5900.00	1.14	1.61
18.79592280	0.144500	0.049300	88.740	0.09400	0.719	0.30000	1430.00	6150.00	1.13	1.61
50.79039100	0.280400	0.032300	89.640	1.84000	1.101	1.74000	1430.00	6150.00	1.13	1.61
4.57763480	0.060070	0.275000	84.980	0.63000	1.570	0.20200	773.00	6572.00	1.38	1.62
13.83989000	0.115300	0.039000	90.010	0.01400	0.133	7.46000	470.00	5911.00	1.07	1.63
16.23855000	0.128300	0.033000	89.980	0.02500	0.328	0.89000	470.00	5911.00	1.07	1.63
3.89713000	0.051800	0.047000	88.000	1.11000	1.290	0.71000	770.00	6090.00	1.21	1.65
11.63344000	0.102000	0.390000	88.400	0.22300	0.850	0.48300	214.58	5537.00	1.10	1.65
7.81795300	0.079080	0.092000	87.150	3.40000	1.195	2.47000	694.00	5542.00	1.08	1.66
3.12201090	0.045300	0.115000	83.650	1.35000	1.288	0.78000	497.00	6280.00	1.27	1.70
3.59510000	0.047000	0.060000	86.140	0.02753	0.174	6.39000	324.22	5430.00	1.05	1.71
15.62400000	0.130000	0.070000	87.940	0.04616	0.327	1.62000	324.22	5430.00	1.05	1.71
35.74700000	0.220000	0.150000	89.470	0.03203	0.352	0.91000	324.22	5430.00	1.05	1.71
4.19364900	0.058300	0.380000	80.400	9.70000	1.330	5.10000	800.00	6424.00	1.50	1.71
3.33260900	0.048000	0.009000	84.100	0.39000	1.550	0.15000	430.00	5914.00	1.34	1.73
4.63703800	0.061100	0.581000	87.300	0.53000	1.500	0.18000	840.00	6438.00	1.42	1.74
1.76358800	0.036410	0.000640	86.770	9.28000	1.512	3.60000	415.00	7650.00	1.72	1.74
3.58622020	0.050710	0.036000	83.210	1.29000	1.232	0.85600	618.20	6147.00	1.35	1.75
11.81430000	0.106600	0.220000	87.210	0.11000	0.660	0.47100	132.80	5576.00	1.16	1.75
5.20851000	0.060300	0.047000	88.100	0.48400	0.955	0.69000	560.00	5150.00	1.01	1.78
9.47725000	0.091400	0.380600	88.200	5.42000	0.965	7.53000	336.47	5645.00	1.13	1.78
114.73635000	0.481000	0.036000	89.274	1.02000	1.204	0.72900	1277.88	5600.00	1.10	1.82
191.23180000	0.676000	0.039000	89.588	0.02000	0.548	0.15200	1277.88	5600.00	1.10	1.82
3.14143910	0.047140	0.064000	87.060	5.33000	1.411	2.34000	1538.00	6626.00	1.41	1.84
2.60545520	0.039510	0.304000	84.200	0.52700	1.890	0.09600	841.00	5835.00	1.21	1.86
3.37796000	0.047800	0.233000	85.000	0.88000	1.640	0.24300	872.00	6050.00	1.27	1.87
3.61127060	0.051400	0.057000	82.540	4.85000	1.473	2.00000	437.00	6450.00	1.39	1.87
2.97208600	0.043630	0.090000	86.200	0.78300	1.590	0.24200	927.00	6002.00	1.25	1.88
1.88823780	0.036320	0.180000	86.700	12.90000	1.384	6.64000	1307.00	7930.00	1.78	1.88
2.78578000	0.042717	0.020000	83.200	0.01598	0.146	6.40000	108.86	6305.00	1.41	1.90
3.30238810	0.047350	0.245000	86.200	0.65000	1.750	0.15300	907.00	6071.00	1.30	2.04
4.90889700	0.065620	0.151000	87.240	0.96000	1.679	0.24500	1083.00	6554.00	1.56	2.11
4.32479900	0.060430	0.019000	83.290	0.60200	1.688	0.15500	577.10	6536.00	1.57	2.20
3.26427360	0.049970	0.312000	85.800	1.59000	1.580	0.49000	1431.00	6460.00	1.56	2.26
5.33408384	0.067900	0.119000	89.210	2.82000	1.450	1.13000	1870.00	6360.00	1.46	2.26
11.53533000	0.109700	0.251000	88.990	0.41500	1.026	0.47700	79.75	5521.00	1.32	2.34
3.30895800	0.052080	0.038000	84.510	1.01700	1.545	0.34300	147.20	6272.00	1.72	2.59
3.84937278	0.054400	0.062800	76.520	5.88000	1.070	6.36000	806.07	6216.00	1.45	2.89
14.27670000	0.122800	0.115000	85.750	0.19000	0.836	0.43100	95.08	5080.00	1.21	2.94
8.60015360	0.094800	0.114000	85.510	0.84000	1.990	0.13100	2070.00	6161.00	1.54	3.21
52.50112900	0.301000	0.513400	88.170	5.41000	1.145	4.46000	870.00	4995.00	1.32	4.06
